SSCC;PRODUCTO;DESCRIPCION;F_CADUC;ESTADO;UNIDS_STO;UNIDS_DES;MOTIVO;   ZONA;ALL;DPL;NIV;LOTE;EMBALAJE
'384105000261682460;31824            ;FOGONERO FILETE C/P 500-1000G ;20240221;10;60;0;   ;M;110;286;0;'230822              ;PAZ
'384105000261675288;5531             ;ALBONDIGA VACUNO 3X2KG        ;20231231;10;74;11;   ;M;110;208;0;'22166               ;PBL
'000000000004720638;10670            ;ZANAHORIA DADO PF CONG        ;20240830;10;45;0;   ;M;110;2;0;'2242                ;PBL
'384105000261675394;10670            ;ZANAHORIA DADO PF CONG        ;20240830;10;72;0;   ;M;110;2;0;'2242                ;PBL
'384105000261675400;10670            ;ZANAHORIA DADO PF CONG        ;20240830;10;72;0;   ;M;110;2;0;'2242                ;PBL
'384105000261675653;93975            ;CANELONES CARNE UNIDADES CONG*;20240228;10;37;5;   ;M;110;183;0;'22244               ;PBL
'384105000261675660;94115            ;LASAÑA CARNE S/BECHAMEL UD IND;20240228;10;33;3;   ;M;110;185;0;'22248               ;PBL
'384105000261667337;5484             ;AJO BROTES TIERNOS CONGG*0G CO;20240128;10;1;0;   ;M;110;345;0;'2028                ;PAZ
'384105000261644048;94664            ;HAMB TERNERA 80-90G S/GL S/LAC;20240611;10;17;6;   ;M;110;11;0;'22193009            ;PBL
'384105000261682484;39189            ;TERNERA HUESOS CORTADOS CONG* ;20240823;10;20;3;   ;M;110;465;0;'2234410008          ;PAZ
'384105000261587826;93691            ;TORTILLA PATATA S/CEB UD REDON;20230830;10;58;0;   ;M;110;173;0;'300823              ;PBL
'384105000261587918;95090            ;NUGGETS DE POLLO HORNO CONG*  ;20240531;10;68;0;   ;M;110;196;0;'13122               ;PBL
'384105000261708078;33905            ;MANZANA GOLDEN 5/6 UN/KG*     ;20221229;40;78;0;   ;E;1;1;2;'00000350            ;PBL
'384105000261708085;33905            ;MANZANA GOLDEN 5/6 UN/KG*     ;20221229;40;78;0;   ;E;1;3;2;'00000350            ;PBL
'384105000261708092;36855            ;PIÑA TROPICAL UNIDAD KG*.     ;20221229;10;40;0;   ;E;2;3;0;'0022434             ;PBL
'384105000261667511;36317            ;PATATA DUQUESA CONG           ;20240107;10;1;0;   ;M;110;358;0;'220075              ;PBL
'384105000261708108;36855            ;PIÑA TROPICAL UNIDAD KG*.     ;20221229;10;8;0;   ;E;2;3;0;'0022434             ;PBL
'384105000261667528;36810            ;PIMIENTO ROJO TIRAS CONG*     ;20240531;10;2;0;   ;M;110;250;0;'2125                ;PAZ
'384105000261667535;36810            ;PIMIENTO ROJO TIRAS CONG*     ;20240630;10;2;0;   ;M;110;250;0;'2161                ;PAZ
'384105000261708115;5059             ;ACEITE OLIVA 0,4º GAR 5L      ;20241025;50;58;0;DES;S;5;38;0;'22297A5             ;PBL
'384105000261691745;73908            ;CERDO CODILLO MITADES         ;20241007;10;41;0;   ;M;110;275;0;'22255013            ;PBL
'384105000261650377;32440            ;BURGER MIX 80-90G S/GLU S/LAC ;20240705;10;67;0;   ;M;110;334;0;'22216014            ;PBL
'384105000261691752;74625            ;ALBOND TRNA 25G S/GLUT-S/LAC C;20241007;10;150;0;   ;M;110;254;0;'2221703             ;PBL
'384105000261691769;37269            ;POTON TIRAS CONG              ;20241002;10;30;21;   ;M;110;257;0;'300922              ;PBL
'384105000261708122;5059             ;ACEITE OLIVA 0,4º GAR 5L      ;20241025;10;49;0;   ;E;2;19;0;'22297A5             ;PBL
'384105000261691776;38632            ;PREPARADO SOPA MARISCO S/CASCA;20240730;10;94;9;   ;M;110;362;0;'033024              ;PAZ
'384105000261708139;5059             ;ACEITE OLIVA 0,4º GAR 5L      ;20241025;40;60;0;   ;S;5;42;0;'22297A5             ;PBL
'384105000261708146;5059             ;ACEITE OLIVA 0,4º GAR 5L      ;20241025;40;60;0;   ;S;5;43;0;'22297A5             ;PBL
'384105000261708153;5059             ;ACEITE OLIVA 0,4º GAR 5L      ;20241025;40;60;0;   ;J;0;0;0;'22297A5             ;PBL
'384105000261708160;5076             ;ACEITE OLIVA VIRGEN EXTRA 5L  ;20241025;40;60;0;   ;J;0;0;0;'22292A4             ;PBL
'384105000261708177;5076             ;ACEITE OLIVA VIRGEN EXTRA 5L  ;20241025;40;60;0;   ;S;5;44;0;'22292A4             ;PBL
'384105000261708184;5046             ;ACEITE GIRASOL GAR 5L         ;20241025;40;60;0;   ;S;5;40;0;'22277A5             ;PBL
'384105000261708191;5046             ;ACEITE GIRASOL GAR 5L         ;20241025;40;60;0;   ;S;5;41;0;'22277A5             ;PBL
'384105000261708207;5046             ;ACEITE GIRASOL GAR 5L         ;20241025;40;60;0;   ;S;5;45;0;'22277A5             ;PBL
'384105000261708214;5046             ;ACEITE GIRASOL GAR 5L         ;20241025;40;60;0;   ;S;5;46;0;'22277A5             ;PBL
'384105000261708221;5046             ;ACEITE GIRASOL GAR 5L         ;20241025;40;60;0;   ;S;5;47;0;'22277A5             ;PBL
'384105000261708238;5046             ;ACEITE GIRASOL GAR 5L         ;20241025;40;60;0;   ;S;5;48;0;'22277A5             ;PBL
'384105000261708245;5046             ;ACEITE GIRASOL GAR 5L         ;20241025;40;60;0;   ;S;5;49;0;'22277A5             ;PBL
'384105000261708252;5046             ;ACEITE GIRASOL GAR 5L         ;20241025;40;60;0;   ;J;0;0;0;'22277A5             ;PBL
'384105000261691783;79976            ;BACALAO FILETE C/P +1000G CONG;20230930;10;7;7;   ;M;110;94;0;'099/22              ;PBL
'384105000261691790;79976            ;BACALAO FILETE C/P +1000G CONG;20230930;10;60;3;   ;M;110;94;0;'100/22              ;PBL
'384105000261691806;79976            ;BACALAO FILETE C/P +1000G CONG;20230930;10;66;0;   ;M;110;94;0;'99/22               ;PBL
'384105000261667689;94577            ;VIEIRA GRATINADA MEDIA CONCHA ;20230428;10;54;0;   ;M;110;514;0;'1112                ;PAZ
'384105000261667696;94577            ;VIEIRA GRATINADA MEDIA CONCHA ;20230528;10;36;0;   ;M;110;514;0;'11220               ;PAZ
'384105000261688974;5076             ;ACEITE OLIVA VIRGEN EXTRA 5L  ;20240903;10;44;0;   ;E;2;16;0;'22269A4             ;PBL
'384105000261689070;5067             ;ACEITE OLIVA 1º GAR 5L        ;20240903;10;38;0;   ;E;2;20;0;'22257A4             ;PBL
'384105000261689087;5067             ;ACEITE OLIVA 1º GAR 5L        ;20240903;40;60;0;   ;S;6;7;1;'22257A4             ;PBL
'384105000261689094;5067             ;ACEITE OLIVA 1º GAR 5L        ;20240903;40;60;0;   ;S;6;10;1;'22257A4             ;PBL
'384105000261695330;37253            ;POTA TUBO LIMPIO CONG         ;20240309;10;119;4;   ;M;110;299;0;'VE-133389           ;PBL
'384105000261695347;158089           ;POLLO MUSLO 180-220G IQF CONG ;20240209;10;19;2;   ;M;110;512;0;'18326               ;PBL
'384105000261695354;158109           ;POLLO CONTRAMUSLO C/HUESO IQF ;20240306;10;51;3;   ;M;110;508;0;'18545               ;PBL
'384105000261695361;36460            ;PAVO TACO GUISAR CONG*        ;20240323;10;2;2;   ;M;110;49;0;'2265                ;PBL
'384105000261695378;36460            ;PAVO TACO GUISAR CONG*        ;20240323;10;60;29;   ;M;110;49;0;'2265                ;PBL
'000000000004734024;37080            ;POLLO CARCASA CONG            ;20240203;10;7;2;   ;M;110;102;0;'18301               ;PBL
'384105000261695385;37080            ;POLLO CARCASA CONG            ;20240213;10;60;0;   ;M;110;102;0;'18352               ;PBL
'384105000261695392;80059            ;POLLO TACO GUISAR CONG*       ;20240213;10;33;2;   ;M;110;499;0;'18357               ;PBL
'384105000261695408;80059            ;POLLO TACO GUISAR CONG*       ;20240213;10;60;0;   ;M;110;499;0;'18388               ;PBL
'384105000261653019;7785             ;CERDO Y TERNERA CARNE PICADA  ;20240124;10;32;6;   ;M;110;329;0;'2206822             ;PBL
'384105000261689155;14618            ;MANZANA ROYAL GALA 7/8 UN/KG* ;20221207;40;28;0;   ;E;3;13;0;'00000313            ;PBL
'384105000261708269;128704           ;TERNERA ESCALOPIN 60G CONG    ;20231026;10;60;0;   ;M;110;321;0;'22299               ;PBL
'384105000261685393;34211            ;MERLUZA PORCION 90-110G CONG* ;20230731;10;49;6;   ;M;110;36;0;'15/01               ;PBL
'384105000261675790;154633           ;BACON TOPPING CONG            ;20240301;10;48;0;   ;M;110;504;0;'4205                ;PBL
'384105000261685669;39367            ;TOAMTE MADURO MM GRANELL      ;20221204;40;115;0;DES;E;3;18;0;'6626                ;PBL
'384105000261708276;90668            ;JAMON YORK LONCHAS UD GRANDE* ;20221128;40;2;0;   ;E;4;23;1;'38102               ;PBL
'384105000261708290;36476            ;PECHUGA COCIDA PAVO PIEZA ENTE;20230408;40;5;0;   ;E;4;19;1;'101703              ;PBL
'384105000261651046;33319            ;LECHE SEMIDESNATADA BRICK 1L* ;20221217;10;57;0;   ;E;2;21;0;'1111223D06          ;PBL
'384105000261651053;33319            ;LECHE SEMIDESNATADA BRICK 1L* ;20221217;40;125;0;   ;S;2;17;3;'1111223D06          ;PBL
'384105000261708306;77240            ;TERNERA TACO GUISAR ELABORADA ;20240202;10;1;1;   ;M;110;89;0;'2207113             ;PBL
'000000000004730286;30801            ;CROQUETA CASERA POLLO CONG*   ;20240228;10;117;0;   ;M;110;9;0;'20930               ;PBL
'384105000261689469;30802            ;CROQUETA POLLO CONG*          ;20240328;10;117;0;   ;M;110;10;0;'21005               ;PBL
'384105000261689476;30803            ;CROQUETA ARTESANA POLLO CONG  ;20240228;10;115;1;   ;M;110;12;0;'20930               ;PBL
'384105000261708320;33538            ;FILETE LOMO CERDO 30 GR. CG.  ;20240427;10;89;0;   ;M;110;317;0;'65561               ;PBL
'384105000261708337;4045             ;CERDO MANOS/PIES CORTE MITAD  ;20240422;10;76;1;   ;M;110;472;0;'65410               ;PAZ
'384105000261708344;4045             ;CERDO MANOS/PIES CORTE MITAD  ;20240422;10;76;0;   ;M;110;472;0;'65410               ;PAZ
'000000000004740896;77229            ;CERDO AGUJA FILETE 90G ELABOR ;20240426;10;90;0;   ;M;110;82;0;'65514               ;PBL
'384105000261708351;8294             ;CERDO CINTA LOMO FILETE 60G C ;20240427;10;90;0;   ;M;110;314;0;'65560               ;PBL
'384105000261703202;84037            ;POLLO CONTRAMUSLO FILETE IQF 9;20240430;10;84;0;   ;M;110;126;0;'4 520               ;PBL
'384105000261703219;84037            ;POLLO CONTRAMUSLO FILETE IQF 9;20240430;10;24;0;   ;M;110;126;0;'5 525               ;PBL
'384105000261703226;38020            ;SALCHICHA CERDO 30G CONG*     ;20241018;10;110;0;   ;M;110;59;0;'65401               ;PBL
'384105000261703233;59922            ;F. GALLINETA C/P PBO 120/170G ;20240430;10;126;0;   ;M;110;388;0;'B21004729           ;PAZ
'384105000261683153;32783            ;HUEVO CLARA LIQUIDA 1L*       ;20221120;40;55;0;   ;E;3;14;0;'K67475              ;PBL
'384105000261683177;90767            ;HUEVO COCIDO M CUBO MEDIANO*  ;20221121;10;24;0;   ;E;3;7;0;'481                 ;PBL
'384105000261699734;33905            ;MANZANA GOLDEN 5/6 UN/KG*     ;20221221;10;22;0;   ;E;2;8;0;'00000339            ;PBL
'384105000261696047;33872            ;MANTEQUILLA PASTILLA 1KG*     ;20230220;40;9;0;   ;E;4;19;0;'2223640             ;PBL
'384105000261696054;33967            ;MARG. 3/4 TARRINA 10G. ASTOR  ;20230531;40;24;0;   ;E;4;23;0;'2282                ;PBL
'384105000261699772;33112            ;LACON AHUMADO PIEZA ENTERA    ;20230214;40;1;0;   ;E;4;9;0;'4122                ;PBL
'384105000261699857;84037            ;POLLO CONTRAMUSLO FILETE IQF 9;20240430;10;74;0;   ;M;110;126;0;'4521                ;PBL
'000000000004736295;84037            ;POLLO CONTRAMUSLO FILETE IQF 9;20240430;10;31;0;   ;M;110;126;0;'4522                ;PBL
'384105000261699888;4398             ;QUESO SANDW ESCALONADA KG     ;20221211;40;34;0;   ;E;4;22;0;'28805285            ;PBL
'384105000261699895;10662            ;ZANAHORIA BABY PF CONG        ;20240603;10;14;7;   ;M;110;1;0;'2154                ;PBL
'384105000261699901;10700            ;ZANAHORIA RODAJA PF CONG      ;20241003;10;64;0;   ;M;110;3;0;'2276                ;PBL
'384105000261699918;10700            ;ZANAHORIA RODAJA PF CONG      ;20241003;10;64;0;   ;M;110;3;0;'2276                ;PBL
'384105000261699925;32383            ;GUISANTE FINO CONG            ;20241013;10;80;0;   ;M;110;16;0;'2286                ;PBL
'384105000261699932;32383            ;GUISANTE FINO CONG            ;20241013;10;80;0;   ;M;110;16;0;'2286                ;PBL
'384105000261699949;34155            ;MENESTRA COMUN PF CONG*       ;20240825;10;72;0;   ;M;110;31;0;'2237                ;PBL
'000000000004736332;34155            ;MENESTRA COMUN PF CONG*       ;20240825;10;72;0;   ;M;110;31;0;'2237                ;PBL
'384105000261699956;34155            ;MENESTRA COMUN PF CONG*       ;20241014;10;72;0;   ;M;110;31;0;'2287                ;PBL
'384105000261699963;34155            ;MENESTRA COMUN PF CONG*       ;20241014;10;72;0;   ;M;110;31;0;'2287                ;PBL
'384105000261699970;36793            ;PIMIENTO ROJO DADO CONG*      ;20240926;10;72;0;   ;M;110;50;0;'2269                ;PBL
'384105000261699987;36793            ;PIMIENTO ROJO DADO CONG*      ;20240926;10;72;0;   ;M;110;50;0;'2269                ;PBL
'000000000004736370;36817            ;PIMIENTO VERDE DADO CONG*     ;20240921;10;72;0;   ;M;110;51;0;'2264                ;PBL
'384105000261700003;57908            ;JUDIA VERDE PLANA TROZOS PF CO;20241014;10;72;0;   ;M;110;63;0;'2287                ;PBL
'384105000261700010;57908            ;JUDIA VERDE PLANA TROZOS PF CO;20241014;10;72;0;   ;M;110;63;0;'2287                ;PBL
'384105000261700027;57908            ;JUDIA VERDE PLANA TROZOS PF CO;20241014;10;72;0;   ;M;110;63;0;'2287                ;PBL
'384105000261700034;57908            ;JUDIA VERDE PLANA TROZOS PF CO;20241014;10;72;0;   ;M;110;63;0;'2287                ;PBL
'384105000261700041;57910            ;JUDIA VERDE REDONDA TROZOS PF ;20240706;10;22;20;   ;M;110;64;0;'2187                ;PBL
'384105000261700058;57910            ;JUDIA VERDE REDONDA TROZOS PF ;20240706;10;72;0;   ;M;110;64;0;'2187                ;PBL
'384105000261700065;57910            ;JUDIA VERDE REDONDA TROZOS PF ;20240706;10;72;0;   ;M;110;64;0;'2187                ;PBL
'384105000261700072;57931            ;VERDURAS DE SOPA PF CONG*     ;20240909;10;72;0;   ;M;110;68;0;'2252                ;PBL
'384105000261700089;7384             ;CALABAZA DADO CONG*           ;20241004;10;48;21;   ;M;110;24;0;'2277                ;PBL
'384105000261700096;7384             ;CALABAZA DADO CONG*           ;20241011;10;72;0;   ;M;110;24;0;'2284                ;PBL
'384105000261700102;8087             ;CEBOLLA DADO PF CONG          ;20240921;10;64;0;   ;M;110;219;0;'2264                ;PBL
'384105000261700119;8087             ;CEBOLLA DADO PF CONG          ;20240921;10;64;0;   ;M;110;219;0;'2264                ;PBL
'384105000261700126;8087             ;CEBOLLA DADO PF CONG          ;20240921;10;64;0;   ;M;110;219;0;'2264                ;PBL
'384105000261700133;8087             ;CEBOLLA DADO PF CONG          ;20240921;10;64;0;   ;M;110;219;0;'2264                ;PBL
'000000000004736387;8087             ;CEBOLLA DADO PF CONG          ;20240921;10;64;0;   ;M;110;219;0;'2264                ;PBL
'384105000261700140;8087             ;CEBOLLA DADO PF CONG          ;20241010;10;64;0;   ;M;110;219;0;'2283                ;PBL
'384105000261700157;89269            ;TOMATE CHERRY UNIDAD          ;20221221;40;18;0;   ;E;4;27;1;'4203                ;PBL
'384105000261700263;77693            ;BANANA VERDE 5/7 UN/KG        ;20221221;40;1;0;   ;E;5;2;2;'4204                ;PBL
'384105000261703431;33335            ;LECH ICEBERG 550G             ;20221201;10;73;0;   ;E;3;2;0;'2294                ;PBL
'384105000261703509;132265           ;HUEVO FRESCO M/L(53/73)SIN JAU;20221118;10;18;0;   ;E;3;9;0;'425006              ;PBL
'384105000261703516;91771            ;HUEVO FRESCO M (53/63) ESTUCHE;20221115;40;48;0;   ;E;3;10;0;'422080              ;PBL
'384105000261703523;10662            ;ZANAHORIA BABY PF CONG        ;20240927;10;72;0;   ;M;110;1;0;'2270                ;PBL
'384105000261703530;10700            ;ZANAHORIA RODAJA PF CONG      ;20241003;10;64;0;   ;M;110;3;0;'2276                ;PBL
'000000000004738350;10700            ;ZANAHORIA RODAJA PF CONG      ;20241003;10;64;0;   ;M;110;3;0;'2276                ;PBL
'384105000261703547;32383            ;GUISANTE FINO CONG            ;20240705;10;58;6;   ;M;110;16;0;'2186                ;PBL
'384105000261703561;34155            ;MENESTRA COMUN PF CONG*       ;20240613;10;23;23;   ;M;110;31;0;'2164                ;PBL
'384105000261703578;34155            ;MENESTRA COMUN PF CONG*       ;20241014;10;72;0;   ;M;110;31;0;'2287                ;PBL
'384105000261703585;36793            ;PIMIENTO ROJO DADO CONG*      ;20240930;10;72;0;   ;M;110;50;0;'2273                ;PBL
'384105000261703592;36817            ;PIMIENTO VERDE DADO CONG*     ;20241011;10;72;0;   ;M;110;51;0;'2284                ;PBL
'384105000261703615;57908            ;JUDIA VERDE PLANA TROZOS PF CO;20240617;10;28;22;   ;M;110;63;0;'2168                ;PBL
'384105000261703622;57908            ;JUDIA VERDE PLANA TROZOS PF CO;20240617;10;72;0;   ;M;110;63;0;'2168                ;PBL
'384105000261703639;57908            ;JUDIA VERDE PLANA TROZOS PF CO;20240617;10;72;0;   ;M;110;63;0;'2168                ;PBL
'384105000261703646;57908            ;JUDIA VERDE PLANA TROZOS PF CO;20240617;10;72;0;   ;M;110;63;0;'2168                ;PBL
'384105000261700324;37269            ;POTON TIRAS CONG              ;20241004;10;108;0;   ;M;110;257;0;'051022              ;PBL
'384105000261703653;57908            ;JUDIA VERDE PLANA TROZOS PF CO;20240617;10;72;0;   ;M;110;63;0;'2168                ;PBL
'384105000261703660;57908            ;JUDIA VERDE PLANA TROZOS PF CO;20241002;10;72;0;   ;M;110;63;0;'2275                ;PBL
'384105000261703677;57910            ;JUDIA VERDE REDONDA TROZOS PF ;20241020;10;72;0;   ;M;110;64;0;'2293                ;PBL
'384105000261703684;57931            ;VERDURAS DE SOPA PF CONG*     ;20240909;10;72;0;   ;M;110;68;0;'2252                ;PBL
'384105000261703691;7384             ;CALABAZA DADO CONG*           ;20241004;10;72;0;   ;M;110;24;0;'2277                ;PBL
'000000000004738367;7384             ;CALABAZA DADO CONG*           ;20241004;10;72;0;   ;M;110;24;0;'2277                ;PBL
'384105000261703707;7384             ;CALABAZA DADO CONG*           ;20241004;10;72;0;   ;M;110;24;0;'2277                ;PBL
'384105000261703714;7384             ;CALABAZA DADO CONG*           ;20241004;10;72;0;   ;M;110;24;0;'2277                ;PBL
'384105000261703721;7384             ;CALABAZA DADO CONG*           ;20241011;10;72;0;   ;M;110;24;0;'2284                ;PBL
'384105000261703738;8087             ;CEBOLLA DADO PF CONG          ;20241010;10;64;0;   ;M;110;219;0;'2283                ;PBL
'384105000261703745;8087             ;CEBOLLA DADO PF CONG          ;20241010;10;64;0;   ;M;110;219;0;'2283                ;PBL
'384105000261703752;8087             ;CEBOLLA DADO PF CONG          ;20241010;10;64;0;   ;M;110;219;0;'2283                ;PBL
'000000000004738374;8087             ;CEBOLLA DADO PF CONG          ;20241010;10;32;0;   ;M;110;219;0;'2283                ;PBL
'384105000261703769;71941            ;HAMBURGUESA VEGETAL 80-90G CON;20241031;10;162;0;   ;M;110;420;0;'22279/162           ;PBL
'384105000261700331;5526             ;ALBONDIGA MXTA 25G S/GLU S/LAC;20240830;10;124;0;   ;M;110;284;0;'22273005            ;PBL
'384105000261700348;5526             ;ALBONDIGA MXTA 25G S/GLU S/LAC;20240912;10;160;0;   ;M;110;284;0;'22286007            ;PBL
'384105000261700355;5526             ;ALBONDIGA MXTA 25G S/GLU S/LAC;20240912;10;16;0;   ;M;110;284;0;'22286007            ;PBL
'000000000004645900;36298            ;PATATA BRAVA CONG*            ;20240430;10;26;15;   ;M;110;44;0;'1004237855          ;PBL
'384105000261582883;36298            ;PATATA BRAVA CONG*            ;20240430;10;63;0;   ;M;110;44;0;'1004237855          ;PBL
'384105000261582890;36298            ;PATATA BRAVA CONG*            ;20240430;10;63;0;   ;M;110;44;0;'1004237855          ;PBL
'384105000261582906;36315            ;PATATA DADO PREFRITA CONG     ;20240430;10;72;0;   ;M;110;45;0;'1004224604          ;PBL
'384105000261582944;36316            ;PATATA DOLLAR CONG            ;20240430;10;37;2;   ;M;110;46;0;'1004221430          ;PBL
'384105000261582951;36316            ;PATATA DOLLAR CONG            ;20240430;10;72;0;   ;M;110;46;0;'1004241645          ;PBL
'384105000261582968;36316            ;PATATA DOLLAR CONG            ;20240430;10;72;0;   ;M;110;46;0;'1001221430          ;PBL
'384105000261582975;36331            ;PATATA JULIANA 6X6 CONG*      ;20230831;10;54;0;   ;M;110;251;0;'1004167422          ;PBL
'384105000261582982;36331            ;PATATA JULIANA 6X6 CONG*      ;20230831;10;54;0;   ;M;110;251;0;'1004174515          ;PBL
'384105000261582999;36331            ;PATATA JULIANA 6X6 CONG*      ;20230831;10;54;0;   ;M;110;251;0;'1004174515          ;PBL
'384105000261664237;158101           ;POLLO CONTRAMUSLO FILETE 150G ;20240228;10;25;0;   ;M;110;519;0;'5479                ;PBL
